id,cityname,pincode,stateid
1,Alipurduar,NULL,36
2,Bankura,NULL,36
3,"Paschim Bardhaman",NULL,36
4,"Purba Bardhaman",NULL,36
5,Birbhum,NULL,36
6,"Cooch Behar",NULL,36
7,Darjeeling,NULL,36
8,"Uttar Dinajpur",NULL,36
9,Hooghly,NULL,36
10,Howrah,NULL,36
11,Jalpaiguri,NULL,36
12,Jhargram,NULL,36
13,Kolkata,NULL,36
14,Kalimpong,NULL,36
15,Malda,NULL,36
16,"Paschim Medinipur",NULL,36
17,"Purba Medinipur",NULL,36
18,Murshidabad,NULL,36
19,"North 24 Parganas",NULL,36
20,"South 24 Parganas",NULL,36
21,Purulia,NULL,36
22,Anantapur,NULL,2
23,Chittoor,NULL,2
24,"East Godavari",NULL,2
25,Guntur,NULL,2
26,Krishna,NULL,2
27,Kurnool,NULL,2
28,Nellore,NULL,2
29,Prakasam,NULL,2
30,Srikakulam,NULL,2
31,Visakhapatnam,NULL,2
32,Vizianagaram,NULL,2
33,"West Godavari",NULL,2
34,"YSR Kadapa",NULL,2
35,Tawang,NULL,3
36,"West Kameng",NULL,3
37,"East Kameng",NULL,3
38,"Papum Pare",NULL,3
39,"Kurung Kumey",NULL,3
40,"Kra Daadi",NULL,3
41,"Lower Subansiri",NULL,3
42,"Upper Subansiri",NULL,3
43,"West Siang",NULL,3
44,"East Siang",NULL,3
45,Siang,NULL,3
46,"Upper Siang",NULL,3
47,"Lower Siang",NULL,3
48,"Lower Dibang Valley",NULL,3
49,"Upper Dibang Valley",NULL,3
50,Anjaw,NULL,3
51,Lohit,NULL,3
52,Namsai,NULL,3
53,Changlang,NULL,3
54,Tirap,NULL,3
55,Longding,NULL,3
56,Kamle,NULL,3
57,Baksa,NULL,4
58,Barpeta,NULL,4
59,Biswanath,NULL,4
60,Bongaigaon,NULL,4
61,Cachar,NULL,4
62,Charaideo,NULL,4
63,Chirang,NULL,4
64,Darrang,NULL,4
65,Dhemaji,NULL,4
66,Dhubri,NULL,4
67,Dibrugarh,NULL,4
68,"Dima Hasao",NULL,4
69,Goalpara,NULL,4
70,Golaghat,NULL,4
71,Hailakandi,NULL,4
72,Hojai,NULL,4
73,Jorhat,NULL,4
74,"Kamrup Metropolitan",NULL,4
75,Kamrup,NULL,4
76,"Karbi Anglong",NULL,4
77,Karimganj,NULL,4
78,Kokrajhar,NULL,4
79,Lakhimpur,NULL,4
80,Majuli,NULL,4
81,Morigaon,NULL,4
